n_agents,shape,conclusion,steps
9,wheel,1.0,96
9,complete,1.0,243
10,cycle,1.0,618
10,wheel,1.0,155
10,complete,1.0,53
5,cycle,0.0,1
5,wheel,1.0,173
5,complete,1.0,41
6,cycle,1.0,271
6,wheel,1.0,488
6,complete,1.0,104
7,cycle,1.0,565
7,wheel,1.0,604
7,complete,1.0,755
8,cycle,1.0,576
8,wheel,1.0,648
8,complete,1.0,43
9,cycle,1.0,990
9,wheel,1.0,520
9,complete,1.0,80
10,cycle,1.0,1553
10,wheel,1.0,344
10,complete,1.0,39
5,cycle,1.0,70
5,wheel,1.0,897
5,complete,1.0,142
6,cycle,1.0,428
6,wheel,1.0,438
6,complete,1.0,150
7,cycle,1.0,330
7,wheel,1.0,249
7,complete,1.0,152
8,cycle,1.0,377
8,wheel,0.0,16
8,complete,1.0,26
9,cycle,1.0,1577
9,wheel,1.0,386
9,complete,1.0,64
10,cycle,1.0,874
10,wheel,1.0,346
10,complete,0.0,17
5,cycle,1.0,241
5,wheel,1.0,141
5,complete,1.0,88
6,cycle,1.0,722
6,wheel,0.0,1
6,complete,1.0,138
7,cycle,1.0,1053
7,wheel,1.0,248
7,complete,0.0,104
8,cycle,1.0,619
8,wheel,1.0,1057
8,complete,1.0,307
9,cycle,1.0,681
9,wheel,1.0,276
9,complete,1.0,69
10,cycle,1.0,1118
10,wheel,1.0,746
10,complete,1.0,188
5,cycle,1.0,899
5,wheel,0.0,129
5,complete,1.0,275
6,cycle,1.0,986
6,wheel,1.0,532
6,complete,0.0,47
7,cycle,1.0,306
7,wheel,1.0,284
7,complete,0.0,98
8,cycle,1.0,737
8,wheel,1.0,586
8,complete,1.0,206
9,cycle,1.0,1020
9,wheel,1.0,233
9,complete,1.0,45
10,cycle,1.0,651
10,wheel,1.0,543
10,complete,1.0,126
5,cycle,1.0,1036
5,wheel,1.0,403
5,complete,1.0,83
6,cycle,1.0,1110
6,wheel,0.0,15
6,complete,0.0,1
7,cycle,1.0,592
7,wheel,1.0,87
7,complete,0.0,311
8,cycle,1.0,389
8,wheel,1.0,232
8,complete,1.0,237
9,cycle,1.0,549
9,wheel,1.0,117
9,complete,1.0,96
10,cycle,1.0,480
10,wheel,1.0,175
10,complete,1.0,155
5,cycle,0.0,18
5,wheel,1.0,377
5,complete,1.0,252
6,cycle,1.0,1099
6,wheel,0.0,1
6,complete,1.0,116
7,cycle,1.0,418
7,wheel,1.0,287
7,complete,1.0,100
8,cycle,1.0,690
8,wheel,1.0,770
8,complete,1.0,185
9,cycle,1.0,1379
9,wheel,1.0,395
9,complete,1.0,140
10,cycle,0.0,64
10,wheel,1.0,386
10,complete,1.0,255
5,cycle,1.0,452
5,wheel,1.0,250
5,complete,1.0,70
6,cycle,1.0,708
6,wheel,1.0,769
6,complete,1.0,286
7,cycle,1.0,994
7,wheel,1.0,740
7,complete,1.0,69
8,cycle,1.0,371
8,wheel,1.0,465
8,complete,1.0,66
9,cycle,1.0,1499
9,wheel,1.0,195
9,complete,1.0,75
10,cycle,1.0,2072
10,wheel,0.0,45
10,complete,1.0,177
5,cycle,1.0,539
5,wheel,1.0,73
5,complete,0.0,16
6,cycle,1.0,965
6,wheel,1.0,57
6,complete,1.0,70
7,cycle,0.0,215
7,wheel,0.0,60
7,complete,1.0,231
8,cycle,0.0,316
8,wheel,1.0,359
8,complete,1.0,291
9,cycle,1.0,496
9,wheel,1.0,661
9,complete,1.0,227
10,cycle,1.0,918
10,wheel,1.0,134
10,complete,1.0,197
5,cycle,1.0,459
5,wheel,1.0,139
5,complete,1.0,82
6,cycle,1.0,324
6,wheel,1.0,345
6,complete,1.0,78
7,cycle,1.0,994
7,wheel,1.0,280
7,complete,1.0,70
8,cycle,1.0,302
8,wheel,0.0,8
8,complete,1.0,197
9,cycle,1.0,1171
9,wheel,0.0,241
9,complete,1.0,88
10,cycle,1.0,636
10,wheel,1.0,423
10,complete,1.0,156
5,cycle,1.0,478
5,wheel,1.0,252
5,complete,1.0,103
6,cycle,1.0,464
6,wheel,1.0,87
6,complete,1.0,314
7,cycle,1.0,380
7,wheel,1.0,676
7,complete,1.0,120
8,cycle,1.0,336
8,wheel,1.0,397
8,complete,1.0,272
9,cycle,1.0,1180
9,wheel,1.0,243
9,complete,1.0,158
10,cycle,1.0,472
10,wheel,1.0,951
10,complete,1.0,90
5,cycle,1.0,887
5,wheel,1.0,322
5,complete,1.0,161
6,cycle,1.0,539
6,wheel,1.0,523
6,complete,0.0,59
7,cycle,1.0,484
7,wheel,1.0,314
7,complete,1.0,62
8,cycle,1.0,712
8,wheel,1.0,206
8,complete,0.0,111
9,cycle,1.0,1048
9,wheel,1.0,172
9,complete,1.0,223
10,cycle,1.0,1174
10,wheel,0.0,54
10,complete,1.0,150
5,cycle,0.0,13
5,wheel,1.0,91
5,complete,1.0,212
6,cycle,1.0,393
6,wheel,1.0,776
6,complete,0.0,7
7,cycle,1.0,235
7,wheel,0.0,7
7,complete,1.0,247
8,cycle,0.0,32
8,wheel,1.0,145
8,complete,0.0,8
9,cycle,1.0,998
9,wheel,1.0,282
9,complete,1.0,242
10,cycle,1.0,723
10,wheel,1.0,546
10,complete,1.0,37
5,cycle,1.0,298
5,wheel,1.0,123
5,complete,1.0,127
6,cycle,0.0,185
6,wheel,1.0,330
6,complete,1.0,47
7,cycle,1.0,783
7,wheel,1.0,243
7,complete,1.0,97
8,cycle,1.0,469
8,wheel,1.0,742
8,complete,1.0,200
9,cycle,0.0,241
9,wheel,1.0,306
9,complete,1.0,70
10,cycle,1.0,340
10,wheel,1.0,102
10,complete,1.0,87
5,cycle,1.0,322
5,wheel,1.0,193
5,complete,1.0,114
6,cycle,0.0,168
6,wheel,1.0,196
6,complete,1.0,240
7,cycle,1.0,229
7,wheel,1.0,99
7,complete,1.0,163
8,cycle,1.0,867
8,wheel,1.0,644
8,complete,1.0,202
9,cycle,1.0,2017
9,wheel,1.0,473
9,complete,1.0,200
10,cycle,1.0,782
10,wheel,1.0,741
10,complete,1.0,185
5,cycle,1.0,504
5,wheel,1.0,85
5,complete,0.0,29
6,cycle,1.0,282
6,wheel,1.0,458
6,complete,1.0,159
7,cycle,1.0,420
7,wheel,1.0,249
7,complete,0.0,13
8,cycle,1.0,337
8,wheel,1.0,492
8,complete,1.0,88
9,cycle,1.0,449
9,wheel,1.0,247
9,complete,1.0,90
10,cycle,1.0,390
10,wheel,1.0,500
10,complete,1.0,68
5,cycle,0.0,14
5,wheel,1.0,238
5,complete,0.0,9
6,cycle,1.0,140
6,wheel,1.0,253
6,complete,1.0,223
7,cycle,1.0,566
7,wheel,1.0,300
7,complete,1.0,73
8,cycle,1.0,1313
8,wheel,1.0,767
8,complete,1.0,76
9,cycle,1.0,967
9,wheel,1.0,255
9,complete,1.0,121
10,cycle,1.0,327
10,wheel,1.0,235
10,complete,1.0,77
5,cycle,1.0,1244
5,wheel,1.0,216
5,complete,1.0,35
6,cycle,0.0,92
6,wheel,1.0,385
6,complete,1.0,157
7,cycle,1.0,379
7,wheel,1.0,501
7,complete,1.0,58
8,cycle,1.0,776
8,wheel,1.0,428
8,complete,0.0,12
9,cycle,1.0,666
9,wheel,1.0,316
9,complete,1.0,100
10,cycle,1.0,715
10,wheel,1.0,272
10,complete,0.0,88
5,cycle,1.0,382
5,wheel,0.0,46
5,complete,0.0,189
6,cycle,1.0,757
6,wheel,1.0,205
6,complete,1.0,248
7,cycle,1.0,962
7,wheel,1.0,855
7,complete,1.0,132
8,cycle,0.0,437
8,wheel,1.0,871
8,complete,0.0,31
9,cycle,1.0,845
9,wheel,1.0,286
9,complete,1.0,227
10,cycle,1.0,724
10,wheel,1.0,444
10,complete,1.0,86
5,cycle,1.0,587
5,wheel,1.0,395
5,complete,1.0,167
6,cycle,1.0,1109
6,wheel,1.0,247
6,complete,1.0,83
7,cycle,1.0,288
7,wheel,1.0,284
7,complete,1.0,115
8,cycle,1.0,438
8,wheel,0.0,105
8,complete,1.0,56
9,cycle,1.0,363
9,wheel,1.0,1171
9,complete,1.0,31
10,cycle,1.0,930
10,wheel,1.0,379
10,complete,0.0,250
5,cycle,1.0,235
5,wheel,1.0,212
5,complete,0.0,1
6,cycle,1.0,513
6,wheel,1.0,142
6,complete,0.0,272
7,cycle,0.0,34
7,wheel,1.0,445
7,complete,1.0,276
8,cycle,0.0,53
8,wheel,1.0,266
8,complete,1.0,139
9,cycle,1.0,749
9,wheel,1.0,345
9,complete,1.0,122
10,cycle,1.0,972
10,wheel,1.0,421
10,complete,1.0,71
5,cycle,1.0,335
5,wheel,1.0,207
5,complete,1.0,669
6,cycle,1.0,479
6,wheel,1.0,291
6,complete,1.0,53
7,cycle,1.0,788
7,wheel,0.0,10
7,complete,1.0,145
8,cycle,1.0,731
8,wheel,1.0,632
8,complete,1.0,71
9,cycle,1.0,859
9,wheel,1.0,356
9,complete,1.0,108
10,cycle,1.0,944
10,wheel,1.0,1293
10,complete,1.0,204
5,cycle,1.0,719
5,wheel,1.0,409
5,complete,1.0,168
6,cycle,1.0,128
6,wheel,0.0,38
6,complete,1.0,370
7,cycle,1.0,328
7,wheel,1.0,852
7,complete,1.0,128
8,cycle,0.0,36
8,wheel,1.0,539
8,complete,1.0,144
9,cycle,1.0,182
9,wheel,1.0,2701
9,complete,1.0,108
10,cycle,1.0,741
10,wheel,1.0,296
10,complete,1.0,43
5,cycle,1.0,1951
5,wheel,0.0,1
5,complete,0.0,139
6,cycle,1.0,407
6,wheel,1.0,368
6,complete,1.0,310
7,cycle,1.0,473
7,wheel,1.0,432
7,complete,1.0,179
8,cycle,1.0,991
8,wheel,1.0,586
8,complete,1.0,194
9,cycle,1.0,669
9,wheel,1.0,691
9,complete,1.0,71
10,cycle,1.0,635
10,wheel,1.0,238
10,complete,0.0,20
5,cycle,1.0,960
5,wheel,1.0,162
5,complete,1.0,157
6,cycle,1.0,1109
6,wheel,1.0,181
6,complete,1.0,102
7,cycle,1.0,341
7,wheel,1.0,712
7,complete,1.0,253
8,cycle,0.0,15
8,wheel,0.0,24
8,complete,1.0,371
9,cycle,1.0,1183
9,wheel,0.0,29
9,complete,1.0,104
10,cycle,1.0,380
10,wheel,1.0,360
10,complete,1.0,149
5,cycle,0.0,1
5,wheel,1.0,399
5,complete,1.0,84
6,cycle,1.0,436
6,wheel,1.0,280
6,complete,1.0,95
7,cycle,1.0,596
7,wheel,1.0,311
7,complete,1.0,65
8,cycle,1.0,832
8,wheel,1.0,141
8,complete,1.0,93
9,cycle,1.0,832
9,wheel,1.0,173
9,complete,1.0,33
10,cycle,1.0,506
10,wheel,1.0,837
10,complete,1.0,55
5,cycle,1.0,146
5,wheel,0.0,53
5,complete,1.0,220
6,cycle,1.0,362
6,wheel,1.0,198
6,complete,1.0,176
7,cycle,1.0,708
7,wheel,1.0,1156
7,complete,1.0,826
8,cycle,1.0,1603
8,wheel,0.0,132
